domain_name,registrar,whois_server,updated_date,creation_date,expiration_date,name_servers,status,emails,dnssec,name,org,address,city,state,zipcode,country
CONSERVATIVEDAILYPOST.COM,NAMECHEAP INC,whois.namecheap.com,2020-05-01 06:09:33,2016-05-31 16:21:45,2021-05-31 16:21:45,"['NS1.CONSERVATIVEDAILYPOST.COM', 'NS2.CONSERVATIVEDAILYPOST.COM', 'ns1.conservativedailypost.com', 'ns2.conservativedailypost.com']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,abuse@namecheap.com,unsigned,WhoisGuard Protected,"WhoisGuard, Inc.",P.O. Box 0823-03411,Panama,Panama,00000,PA
CONSERVATIVEFIGHTERS.COM,"NameCheap, Inc.",whois.namecheap.com,2020-10-17 06:21:29,2016-11-16 15:57:29,2021-11-16 15:57:29,"['CODY.NS.CLOUDFLARE.COM', 'MARY.NS.CLOUDFLARE.COM']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,abuse@namecheap.com,unsigned,,,,,,,
CONSERVATIVEINFIDEL.COM,"TurnCommerce, Inc. DBA NameBright.com",whois.NameBright.com,2020-07-21 11:42:14,2013-08-13 04:41:09,2021-08-13 04:41:09,"['NSG1.NAMEBRIGHTDNS.COM', 'NSG2.NAMEBRIGHTDNS.COM']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,abuse@NameBright.com,unsigned,Domain Admin / This Domain is For Sale,HugeDomains.com,2635 Walnut Street,Denver,CO,80205,US
DAILYBUZZLIVE.COM,"GoDaddy.com, LLC",whois.godaddy.com,2020-05-27 13:45:01,2013-09-21 00:56:23,2021-05-26 11:59:59,"['NS1.DAILYBUZZLIVE.NET', 'NS2.DAILYBUZZLIVE.NET']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse@godaddy.com,unsigned,Registration Private,"Domains By Proxy, LLC",DomainsByProxy.com,Scottsdale,Arizona,85260,US
DAILYHEADLINES.COM,"GoDaddy.com, LLC",whois.godaddy.com,2020-03-13 12:09:30,2004-03-12 19:11:21,2021-03-12 18:11:21,"['DUKE.NS.CLOUDFLARE.COM', 'EDNA.NS.CLOUDFLARE.COM']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse@godaddy.com,unsigned,Registration Private,"Domains By Proxy, LLC",DomainsByProxy.com,Scottsdale,Arizona,85260,US
DAILYHEADLINES.NET,"GoDaddy.com, LLC",whois.godaddy.com,2020-09-07 10:38:55,2014-09-06 19:19:12,2021-09-06 19:19:12,"['DUKE.NS.CLOUDFLARE.COM', 'EDNA.NS.CLOUDFLARE.COM']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse@godaddy.com,unsigned,Registration Private,"Domains By Proxy, LLC",DomainsByProxy.com,Scottsdale,Arizona,85260,US
DCGAZETTE.COM,"GoDaddy.com, LLC",whois.godaddy.com,2020-05-28 12:31:28,2014-05-27 11:20:18,2021-05-27 11:20:18,"['ED.NS.CLOUDFLARE.COM', 'RAFE.NS.CLOUDFLARE.COM']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse@godaddy.com,unsigned,Registration Private,"Domains By Proxy, LLC",DomainsByProxy.com,Scottsdale,Arizona,85260,US
DENVERGUARDIAN.COM,"GoDaddy.com, LLC",whois.godaddy.com,2020-07-18 19:09:02,2015-07-17 21:56:15,2021-07-17 21:56:15,"['NS07.DOMAINCONTROL.COM', 'NS08.DOMAINCONTROL.COM']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse@godaddy.com,unsigned,Registration Private,"Domains By Proxy, LLC",DomainsByProxy.com,Scottsdale,Arizona,85260,US
departed.co,Dynadot LLC,whois.dynadot.com,2020-07-06 09:55:34,2018-03-29 17:00:08,2022-03-29 17:00:08,"['ns1.dynadot.com', 'ns2.dynadot.com']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,abuse@dynadot.com,unsigned,REDACTED FOR PRIVACY,,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,California,REDACTED FOR PRIVACY,US
donaldtrumpnews.co,Dynadot LLC,whois.dynadot.com,2020-08-13 21:20:08,2019-07-15 01:29:25,2021-07-15 01:29:25,"['ns1.dynadot.com', 'ns2.dynadot.com']",ok https://icann.org/epp#ok,abuse@dynadot.com,unsigned,REDACTED FOR PRIVACY,,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,Harjumaa,REDACTED FOR PRIVACY,EE
ENABON.COM,"Alibaba Cloud Computing (Beijing) Co., Ltd.",grs-whois.hichina.com,2020-06-22 08:09:41,2020-02-19 12:51:42,2021-02-19 12:51:42,"['JM1.DNS.COM', 'JM2.DNS.COM']",clientHold https://icann.org/epp#clientHold,DomainAbuse@service.aliyun.com,unsigned,,,,,an hui,,CN
ENDURINGVISION.COM,"NameCheap, Inc.",whois.namecheap.com,2020-02-15 06:15:03,2002-03-16 15:10:04,2021-03-16 14:10:04,"['NS.PHX3.NEARLYFREESPEECH.NET', 'NS.PHX7.NEARLYFREESPEECH.NET']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,abuse@namecheap.com,unsigned,,,,,,,
FARMWARS.INFO,"GoDaddy.com, LLC",whois.godaddy.com,2020-02-25 15:49:13,2009-02-24 17:21:13,2021-02-24 17:21:13,"['NS19.DOMAINCONTROL.COM', 'NS20.DOMAINCONTROL.COM']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse@godaddy.com,,Registration Private,"Domains By Proxy, LLC",DomainsByProxy.com,Scottsdale,Arizona,85260,US
FREEDOMDAILY.COM,"GoDaddy.com, LLC",whois.godaddy.com,2020-10-14 19:43:56,2013-02-13 19:31:33,2022-02-13 19:31:33,"['NS1.DIGITALOCEAN.COM', 'NS2.DIGITALOCEAN.COM']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse@godaddy.com,unsigned,Registration Private,"Domains By Proxy, LLC",DomainsByProxy.com,Scottsdale,Arizona,85260,US
GONELEFT.COM,Dropcatching Names LLC,whois.web.com,2020-08-16 19:17:53,2019-01-01 19:29:15,2021-01-01 19:29:15,"['NS1.RENTONDC.COM', 'NS2.RENTONDC.COM']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,abuse@web.com,unsigned,,,,,,,
GOPTHEDAILYDOSE.COM,"GoDaddy.com, LLC",whois.godaddy.com,2020-08-12 17:18:19,2012-08-12 01:09:38,2021-08-12 01:09:38,"['NS1.CHOOPA.COM', 'NS2.CHOOPA.COM']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse@godaddy.com,unsigned,,,,,Virginia,,US
HEALTHYCAREANDBEAUTY.COM,"ENOM, INC.",WHOIS.ENOM.COM,2019-11-04 09:34:43,2018-12-24 01:57:54,2020-12-24 01:57:54,"['NS1.PARKINGCREW.NET', 'NS2.PARKINGCREW.NET']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,qhkxwpwrd@whoisprivacyprotect.com,unsigned,Whois Agent (882033873),"Whois Privacy Protection Service, Inc.",PO Box 639,Kirkland,WA,98083,US
HEALTHYWORLDHOUSE.COM,"GoDaddy.com, LLC",whois.godaddy.com,2020-03-06 15:09:26,2016-03-10 16:50:33,2021-03-10 16:50:33,"['NS1.PARKLOGIC.COM', 'NS2.PARKLOGIC.COM', 'NS3.PARKLOGIC.COM']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse@godaddy.com,unsigned,Registration Private,"Domains By Proxy, LLC",DomainsByProxy.com,Scottsdale,Arizona,85260,US
IMMEDIATESAFETY.ORG,"GoDaddy.com, LLC",whois.godaddy.com,2020-09-05 16:26:19,2015-10-05 17:18:07,2022-10-05 17:18:07,"['RAM.NS.CLOUDFLARE.COM', 'ELINORE.NS.CLOUDFLARE.COM']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse@godaddy.com,unsigned,,immediate safety,,,Florida,,US
INFOSTORMER.COM,"Register.com, Inc.",whois.register.com,2020-08-25 17:32:12,2014-08-24 00:15:55,2021-08-24 00:15:55,"['DUKE.NS.CLOUDFLARE.COM', 'ELLE.NS.CLOUDFLARE.COM']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,abuse@web.com,unsigned,,,,,,,
INTERESTINGDAILYNEWS.COM,"NamePal.com #8028, LLC",whois.web.com,2019-12-19 20:20:27,2019-01-29 19:02:11,2021-01-29 19:02:11,"['NS1626.ZTOMY.COM', 'NS2626.ZTOMY.COM']",ok https://icann.org/epp#ok,abuse@web.com,unsigned,,,,,,,
INTRENDTODAY.COM,PDR Ltd. d/b/a PublicDomainRegistry.com,whois.publicdomainregistry.com,2020-09-30 06:41:18,2019-12-31 03:20:38,2020-12-31 03:20:38,"['NS1.SUSPENDED-DOMAIN.COM', 'NS2.SUSPENDED-DOMAIN.COM', 'ns1.suspended-domain.com', 'ns2.suspended-domain.com']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse-contact@publicdomainregistry.com,unsigned,GDPR Masked,GDPR Masked,GDPR Masked,GDPR Masked,BAD AIBLING,GDPR Masked,DE
INVESTMENTWATCHBLOG.COM,1&1 IONOS SE,whois.ionos.com,2020-02-08 08:05:34,2010-02-07 05:17:30,2021-02-07 05:17:30,"['KEN.NS.CLOUDFLARE.COM', 'LUCY.NS.CLOUDFLARE.COM']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,abuse@ionos.com,unsigned,REDACTED FOR PRIVACY,1&1 Internet Inc,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,PA,REDACTED FOR PRIVACY,US
ITAGLIVE.COM,NAMECHEAP INC,whois.namecheap.com,2019-12-12 04:20:50,2007-12-09 23:57:37,2020-12-09 23:57:37,"['NS1053.UI-DNS.BIZ', 'NS1053.UI-DNS.COM', 'NS1053.UI-DNS.DE', 'NS1053.UI-DNS.ORG', 'ns1053.ui-dns.de', 'ns1053.ui-dns.biz', 'ns1053.ui-dns.org', 'ns1053.ui-dns.com']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,abuse@namecheap.com,unsigned,WhoisGuard Protected,"WhoisGuard, Inc.",P.O. Box 0823-03411,Panama,Panama,,PA
ITMAKESSENSEBLOG.COM,FastDomain Inc.,whois.bluehost.com,2019-10-18 14:56:38,2010-06-10 16:54:10,2021-06-10 16:54:10,"['NS1.BLUEHOST.COM', 'NS2.BLUEHOST.COM']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,support@bluehost.com,unsigned,DOMAIN PRIVACY SERVICE FBO REGISTRANT,"THE ENDURANCE INTERNATIONAL GROUP, INC.","10 CORPORATE DR, STE 300",BURLINGTON,MASSACHUSETTS,01803,US
ITMAKESSENSEBLOG.COM,FastDomain Inc.,whois.bluehost.com,2019-10-18 14:56:38,2010-06-10 16:54:10,2021-06-10 16:54:10,"['NS1.BLUEHOST.COM', 'NS2.BLUEHOST.COM']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,support@bluehost.com,unsigned,DOMAIN PRIVACY SERVICE FBO REGISTRANT,"THE ENDURANCE INTERNATIONAL GROUP, INC.","10 CORPORATE DR, STE 300",BURLINGTON,MASSACHUSETTS,01803,US
ITMAKESSENSEBLOG.COM,FastDomain Inc.,whois.bluehost.com,2019-10-18 14:56:38,2010-06-10 16:54:10,2021-06-10 16:54:10,"['NS1.BLUEHOST.COM', 'NS2.BLUEHOST.COM']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,support@bluehost.com,unsigned,DOMAIN PRIVACY SERVICE FBO REGISTRANT,"THE ENDURANCE INTERNATIONAL GROUP, INC.","10 CORPORATE DR, STE 300",BURLINGTON,MASSACHUSETTS,01803,US
KRBCNEWS.COM,NAMECHEAP INC,whois.namecheap.com,2020-04-15 22:56:57,2016-04-09 05:10:04,2021-04-09 05:10:04,"['NS1045.UI-DNS.BIZ', 'NS1045.UI-DNS.COM', 'NS1045.UI-DNS.DE', 'NS1045.UI-DNS.ORG', 'ns1045.ui-dns.biz', 'ns1045.ui-dns.com', 'ns1045.ui-dns.de', 'ns1045.ui-dns.org']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,abuse@namecheap.com,unsigned,WhoisGuard Protected,"WhoisGuard, Inc.",P.O. Box 0823-03411,Panama,Panama,,PA
KY12NEWS.COM,"EmpireStateDomains, LLC",whois.web.com,2019-12-19 20:22:08,2018-01-01 19:13:40,2021-01-01 19:13:40,"['NS1626.ZTOMY.COM', 'NS2626.ZTOMY.COM']",ok https://icann.org/epp#ok,abuse@web.com,unsigned,,,,,,,
LADYLIBERTYNEWS.COM,"GoDaddy.com, LLC",whois.godaddy.com,2020-05-17 12:01:11,2020-02-07 19:34:34,2021-02-07 19:34:34,"['NS1.THEDNSCLOUD.COM', 'NS2.THEDNSCLOUD.COM']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse@godaddy.com,unsigned,Registration Private,"Domains By Proxy, LLC",DomainsByProxy.com,Scottsdale,Arizona,85260,US
LASTDEPLORABLES.COM,"Threadagent.com, Inc.",whois.threadagent.com,2020-10-22 07:31:50,2019-09-13 18:21:13,2020-09-13 18:21:13,"['EXPIRED1.MAFF.COM', 'EXPIRED2.MAFF.COM']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,,unsigned,,,,,,,
LEARNPROGRESS.ORG,"GoDaddy.com, LLC",whois.godaddy.com,2019-09-25 23:17:24,2016-11-11 22:33:45,2020-11-11 22:33:45,"['NS57.DOMAINCONTROL.COM', 'NS58.DOMAINCONTROL.COM']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse@godaddy.com,unsigned,,Conservative Institute,,,Arkansas,,US
LIBERALPLUG.COM,"GoDaddy.com, LLC",whois.godaddy.com,2018-11-23 12:22:11,2016-11-22 19:05:54,2020-11-22 19:05:54,"['GRAHAM.NS.CLOUDFLARE.COM', 'SANDY.NS.CLOUDFLARE.COM']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse@godaddy.com,unsigned,Registration Private,"Domains By Proxy, LLC",DomainsByProxy.com,Scottsdale,Arizona,85260,US
LIBERTYALLIANCE.COM,"Cloudflare, Inc.",whois.cloudflare.com,2019-07-12 06:35:39,1998-11-27 05:00:00,2020-12-18 04:59:59,"['IGOR.NS.CLOUDFLARE.COM', 'JILL.NS.CLOUDFLARE.COM', 'igor.ns.cloudflare.com', 'jill.ns.cloudflare.com']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,registrar-abuse@cloudflare.com,signedDelegation,DATA REDACTED,DATA REDACTED,DATA REDACTED,DATA REDACTED,Arizona,DATA REDACTED,US
LOCAL31NEWS.COM,"Name Nelly, LLC",whois.web.com,2020-02-27 20:26:13,2019-03-15 18:08:06,2021-03-15 18:08:06,"['NS1626.ZTOMY.COM', 'NS2626.ZTOMY.COM']",ok https://icann.org/epp#ok,abuse@web.com,unsigned,,,,,,,
MADWORLDNEWS.COM,"GoDaddy.com, LLC",whois.godaddy.com,2017-12-16 17:02:06,2013-12-25 21:29:24,2020-12-25 21:29:24,"['ISAAC.NS.CLOUDFLARE.COM', 'MOLLY.NS.CLOUDFLARE.COM']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse@godaddy.com,unsigned,Registration Private,"Domains By Proxy, LLC",DomainsByProxy.com,Scottsdale,Arizona,85260,US
maganews.co,Communigal Communication Ltd,Whois.communigal.net,2020-07-31 09:41:35,2020-07-26 09:41:30,2021-07-26 09:41:30,"['ns15.above.com', 'ns16.above.com']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,abuse@galcomm.com,unsigned,REDACTED FOR PRIVACY,,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,,REDACTED FOR PRIVACY,ro
MAJORTHOUGHTS.COM,"DYNADOT, LLC",whois.dynadot.com,2020-10-19 22:16:35,2019-08-09 18:12:49,2020-08-09 18:12:49,"['NS1.DYNADOT.COM', 'NS2.DYNADOT.COM']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,abuse@dynadot.com,unsigned,,,,,,,
MEDIAMASS.NET,GANDI SAS,whois.gandi.net,2019-12-26 09:11:36,2012-08-05 23:48:08,2025-08-05 23:48:08,"['A.DNS.GANDI.NET', 'B.DNS.GANDI.NET', 'C.DNS.GANDI.NET']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,abuse@support.gandi.net,unsigned,REDACTED FOR PRIVACY,Mediamass,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,,REDACTED FOR PRIVACY,CN
megynkelly.us,"GoDaddy.com, LLC",whois.godaddy.com,2020-09-14 14:03:21,2018-08-23 02:42:53,2021-08-23 02:42:53,"['ns3.parklogic.com', 'ns1.parklogic.com', 'ns2.parklogic.com']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,,,,,,,,,
MENTOR2DAY.COM,"GoDaddy.com, LLC",whois.godaddy.com,2020-04-26 20:10:30,2016-04-22 08:21:13,2022-04-22 08:21:13,"['NS49.DOMAINCONTROL.COM', 'NS50.DOMAINCONTROL.COM']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse@godaddy.com,unsigned,Registration Private,"Domains By Proxy, LLC",DomainsByProxy.com,Scottsdale,Arizona,85260,US
METROPOLITANWORLDS.COM,"SNAPNAMES 47, LLC",whois.web.com,2019-12-19 20:24:36,2019-01-24 19:08:07,2021-01-24 19:08:07,"['NS1626.ZTOMY.COM', 'NS2626.ZTOMY.COM']",ok https://icann.org/epp#ok,abuse@web.com,unsigned,,,,,,,
METROPOLITANWORLDS.COM,"SNAPNAMES 47, LLC",whois.web.com,2019-12-19 20:24:36,2019-01-24 19:08:07,2021-01-24 19:08:07,"['NS1626.ZTOMY.COM', 'NS2626.ZTOMY.COM']",ok https://icann.org/epp#ok,abuse@web.com,unsigned,,,,,,,
MYFRESHNEWS.COM,DropCatch.com 476 LLC,whois.NameBright.com,2020-05-02 02:06:49,2020-03-16 18:24:19,2021-03-16 18:24:19,"['NSG1.NAMEBRIGHTDNS.COM', 'NSG2.NAMEBRIGHTDNS.COM', 'nsg1.namebrightdns.com', 'nsg2.namebrightdns.com']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,abuse@NameBright.com,unsigned,Domain Admin / This Domain is For Sale,HugeDomains.com,2635 Walnut Street,Denver,CO,80205,US
MYFRESHNEWS.COM,DropCatch.com 476 LLC,whois.NameBright.com,2020-05-02 02:06:49,2020-03-16 18:24:19,2021-03-16 18:24:19,"['NSG1.NAMEBRIGHTDNS.COM', 'NSG2.NAMEBRIGHTDNS.COM', 'nsg1.namebrightdns.com', 'nsg2.namebrightdns.com']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,abuse@NameBright.com,unsigned,Domain Admin / This Domain is For Sale,HugeDomains.com,2635 Walnut Street,Denver,CO,80205,US
MYFRESHNEWS.COM,DropCatch.com 476 LLC,whois.NameBright.com,2020-05-02 02:06:49,2020-03-16 18:24:19,2021-03-16 18:24:19,"['NSG1.NAMEBRIGHTDNS.COM', 'NSG2.NAMEBRIGHTDNS.COM', 'nsg1.namebrightdns.com', 'nsg2.namebrightdns.com']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,abuse@NameBright.com,unsigned,Domain Admin / This Domain is For Sale,HugeDomains.com,2635 Walnut Street,Denver,CO,80205,US
NEPHEF.COM,"Eagle Eye Domains, LLC",whois.web.com,2020-07-16 17:48:12,2018-11-11 19:26:42,2020-11-11 19:26:42,"['NS1.HASTYDNS.COM', 'NS2.HASTYDNS.COM']",ok https://icann.org/epp#ok,abuse@web.com,unsigned,,,,,,,
NEWPOLITICSTODAY.COM,Rainydaydomains.com LLC,whois.web.com,2019-12-19 21:15:28,2018-01-04 19:41:26,2021-01-04 19:41:26,"['NS1626.ZTOMY.COM', 'NS2626.ZTOMY.COM']",ok https://icann.org/epp#ok,abuse@web.com,unsigned,,,,,,,
NEWS4KTLA.COM,"GoDaddy.com, LLC",whois.godaddy.com,2020-02-25 13:22:22,2016-02-24 16:17:50,2021-02-24 16:17:50,"['NS.LIQUIDWEB.COM', 'NS1.LIQUIDWEB.COM']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse@godaddy.com,unsigned,Registration Private,"Domains By Proxy, LLC",DomainsByProxy.com,Scottsdale,Arizona,85260,US
NEWSBBC.NET,NAMECHEAP INC,whois.namecheap.com,2019-11-29 13:27:18,2018-11-25 19:57:07,2020-11-25 19:57:07,"['YICHUN.NS.CLOUDFLARE.COM', 'ZELDA.NS.CLOUDFLARE.COM', 'zelda.ns.cloudflare.com', 'yichun.ns.cloudflare.com']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,abuse@namecheap.com,unsigned,WhoisGuard Protected,"WhoisGuard, Inc.",P.O. Box 0823-03411,Panama,Panama,,PA
NEWSBREAKSHERE.COM,"NamePal.com #8018, LLC",whois.web.com,2020-10-02 13:56:32,2018-10-03 18:25:01,2021-10-03 18:25:01,"['NS1.HASTYDNS.COM', 'NS2.HASTYDNS.COM']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,abuse@web.com,unsigned,,,,,,,
NEWSBYSQUAD.COM,"Domain Esta Aqui, LLC",whois.web.com,2019-12-02 17:22:34,2017-12-14 19:29:45,2020-12-14 19:29:45,"['NS1626.ZTOMY.COM', 'NS2626.ZTOMY.COM']",ok https://icann.org/epp#ok,abuse@web.com,unsigned,,,,,,,
NEWSDAILY12.COM,"GoDaddy.com, LLC",whois.godaddy.com,2020-08-23 16:01:28,2020-08-21 17:56:42,2021-08-21 17:56:42,"['NS1.GIOWM1100.SITEGROUND.BIZ', 'NS2.GIOWM1100.SITEGROUND.BIZ']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse@godaddy.com,unsigned,,,,,Quebec,,CA
NEWSFROMPOLITICS.COM,"SNAPNAMES 7, LLC",whois.web.com,2020-03-25 21:04:57,2020-03-25 18:12:13,2021-03-25 18:12:13,"['NS1626.ZTOMY.COM', 'NS2626.ZTOMY.COM']",ok https://icann.org/epp#ok,abuse@web.com,unsigned,,,,,,,
newsleak.co,"GoDaddy.com, LLC",whois.godaddy.com,2020-03-30 00:10:25,2020-03-25 00:10:20,2021-03-25 00:10:20,"['ns55.domaincontrol.com', 'ns56.domaincontrol.com', 'NS55.DOMAINCONTROL.COM', 'NS56.DOMAINCONTROL.COM']",clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited,abuse@godaddy.com,unsigned,REDACTED FOR PRIVACY,My Shipping Containers,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,Florida,REDACTED FOR PRIVACY,US
NEWSLO.COM,"GoDaddy.com, LLC",whois.godaddy.com,2020-05-22 16:06:37,2013-05-21 15:02:17,2021-05-21 15:02:17,"['NS49.DOMAINCONTROL.COM', 'NS50.DOMAINCONTROL.COM']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse@godaddy.com,unsigned,,NewsLo.com,,,Minnesota,,US
NEWSMAGAZINE.COM,Tucows Domains Inc.,whois.tucows.com,2020-10-09 20:49:51,1998-01-01 05:00:00,2021-12-31 05:00:00,"['NS1.DIGIMEDIA.COM', 'NS2.DIGIMEDIA.COM']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,,unsigned,,,,,,,
